foodname,price,score,location,name,category
연탄소금막창,14500,5.0,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄간장곱창,13500,5.0,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄불곱창,13500,5.0,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄불막창,14500,5.0,광주광역시 동구 지산동 510-6,호랑이곱창,한식
대창곱창전골 ,26000,5.0,광주광역시 동구 지산동 510-6,호랑이곱창,한식
바다참치킹 김치찌개,7000,5.0,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
순두부대패삼겹킹 김치찌개,7000,5.0,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
통목살킹 김치찌개,7500,5.0,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
진짜스팸킹 김치찌개,7900,5.0,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
닭한마리칼국수,22000,5.0,광주광역시 동구 서석동 20-7 1층,진닭한마리칼국수-동구점,한식
매운등갈비찜,25000,5.0,광주광역시 동구 서석동 20-7 1층,진닭한마리칼국수-동구점,한식
야채 비빔밥,7000,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
간장 연탄불고기 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
간장 소불고기 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
오리불고기 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
매운 연탄불고기 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
매운 소불고기 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
직화삼겹살 비빔밥,8500,5.0,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
