foodname,price,score,location,name,category
연탄소금막창,14500,5,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄간장곱창,13500,5,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄불곱창,13500,5,광주광역시 동구 지산동 510-6,호랑이곱창,한식
연탄불막창,14500,5,광주광역시 동구 지산동 510-6,호랑이곱창,한식
바다참치킹 김치찌개,7000,5,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
순두부대패삼겹킹 김치찌개,7000,5,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
통목살킹 김치찌개,7500,5,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
진짜스팸킹 김치찌개,7900,5,광주광역시 동구 서석동 468-31 서석동 ,킹치찌개찜-조대점,한식
야채 비빔밥,7000,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
간장 연탄불고기 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
간장 소불고기 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
오리불고기 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
매운 연탄불고기 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
매운 소불고기 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
직화삼겹살 비빔밥,8500,5,광주광역시 동구 지산동 521-6 ,더비빔-광주조선대점,한식
금성 칡물냉면,9000,4.9,광주광역시 동구 불로동 1-11 ,홍일점,한식
금성 칡비빔냉면,9000,4.9,광주광역시 동구 불로동 1-11 ,홍일점,한식
수제왕만두5p,8000,4.9,광주광역시 동구 불로동 1-11 ,홍일점,한식
육회비빔밥,9000,4.9,광주광역시 동구 대인동 311-6 ,한국별관,한식
익힌비빔밥,9000,4.9,광주광역시 동구 대인동 311-6 ,한국별관,한식
육회비빔밥,12000,4.9,광주광역시 동구 대인동 311-6 ,한국별관,한식
냉면,8000,4.9,광주광역시 동구 대인동 311-6 ,한국별관,한식
듬뿍 혼밥 우삼겹김치찌개,12000,4.9,광주광역시 동구 산수동 558-35 1층,참진김치찌개,한식
듬뿍 혼밥 돼지고기（앞다리살） 김치찌개,11000,4.9,광주광역시 동구 산수동 558-35 1층,참진김치찌개,한식
듬뿍 혼밥 삼겹살김치찌개,11000,4.9,광주광역시 동구 산수동 558-35 1층,참진김치찌개,한식
듬뿍 혼밥 스팸김치찌개,11000,4.9,광주광역시 동구 산수동 558-35 1층,참진김치찌개,한식
듬뿍 혼밥 참치김치김치찌개,11000,4.9,광주광역시 동구 산수동 558-35 1층,참진김치찌개,한식
한우소고기죽,8900,4.9,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,죽이요-광주충장로점,한식
오색빛깔 맛있는 잡채,4900,4.9,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,죽이요-광주충장로점,한식
맵달떡볶이,4800,4.9,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,죽이요-광주충장로점,한식
참전복죽,11900,4.9,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,죽이요-광주충장로점,한식
영양닭죽,8900,4.9,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,죽이요-광주충장로점,한식
전주남부시장식콩나물국밥,8000,4.9,광주광역시 동구 충장로4가 15-1 ,전주현대옥,한식
전주끓이는식콩나물국밥,8000,4.9,광주광역시 동구 충장로4가 15-1 ,전주현대옥,한식
얼큰돼지국밥,9500,4.9,광주광역시 동구 충장로4가 15-1 ,전주현대옥,한식
현대옥 순한두부찌개,9000,4.9,광주광역시 동구 충장로4가 15-1 ,전주현대옥,한식
황태콩나물국밥,9000,4.9,광주광역시 동구 충장로4가 15-1 ,전주현대옥,한식
지옥행 불 돼지국밥 [님아 이국밥 먹지마오],10500,4.9,광주광역시 동구 지산동 517-2,이것이국밥이다-광주동구점,한식
이것이 진한 돼지국밥,8500,4.9,광주광역시 동구 지산동 517-2,이것이국밥이다-광주동구점,한식
이것이 진한 순대국밥;순대국밥 순대양 추가 선택,8500,4.9,광주광역시 동구 지산동 517-2,이것이국밥이다-광주동구점,한식
이것이 순살 수육국밥;순살 수육국밥 고기양 추가 선택,8500,4.9,광주광역시 동구 지산동 517-2,이것이국밥이다-광주동구점,한식
이것이 특 삼겹살 수육국밥,12000,4.9,광주광역시 동구 지산동 517-2,이것이국밥이다-광주동구점,한식
예향 정식 도시락,10000,4.9,광주광역시 동구 호남동 43-4 ,예향식당,한식
돼지고기 볶음,11000,4.9,광주광역시 동구 호남동 43-4 ,예향식당,한식
홍어무침,13000,4.9,광주광역시 동구 호남동 43-4 ,예향식당,한식
부드러운우거지 뼈해장국 1인,9500,4.9,광주광역시 동구 대인동 327-37 ,억조감자탕,한식
해남묵은지 뼈 해장국 1인,9500,4.9,광주광역시 동구 대인동 327-37 ,억조감자탕,한식
스팸 많은 부대찌개,12000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
순두부 부대찌개,15000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
우삼겹 부대찌개,15000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
국산100% 묵은지 부대찌개,14000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
동원참치 부대찌개,15000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
마라탕부대찌개,14000,4.9,광주광역시 북구 신안동 224-3 1층,스팸많이주는부대찌개-전대점,한식
찐~한 우사골의 깊은맛 광주1위 '설렁탕',11000,4.9,광주광역시 동구 충장로1가 19 1층 (충장로1가),서울깍두기충장로점-설렁탕전문점,한식
부드러운 양지고기의 참맛 '특설렁탕',14000,4.9,광주광역시 동구 충장로1가 19 1층 (충장로1가),서울깍두기충장로점-설렁탕전문점,한식
제육볶음,7000,4.9,광주 동구 서석동 445-5 1층,먹자판,한식
닭갈비,7500,4.9,광주 동구 서석동 445-5 1층,먹자판,한식
부대찌개,7000,4.9,광주 동구 서석동 445-5 1층,먹자판,한식
닭불고기,7000,4.9,광주 동구 서석동 445-5 1층,먹자판,한식
김치찌개,6000,4.9,광주 동구 서석동 445-5 1층,먹자판,한식
매운쌈밥,9000,4.9,광주광역시 동구 서석동 445-9 ,돈웅,한식
떡갈비 정식,9000,4.9,광주광역시 동구 서석동 445-9 ,돈웅,한식
김치돼지짜글이,8000,4.9,광주광역시 동구 서석동 445-9 ,돈웅,한식
육개장,8000,4.9,광주광역시 동구 서석동 445-9 ,돈웅,한식
순두부찌개,8000,4.9,광주광역시 동구 서석동 445-9 ,돈웅,한식
떡발비 수제도시락,7000,4.9,광주광역시 동구 학동 81-15 1층 402호,덕이네떡갈비,한식
떡갈비스테이크,5000,4.9,광주광역시 동구 학동 81-15 1층 402호,덕이네떡갈비,한식
떡갈비,6000,4.9,광주광역시 동구 학동 81-15 1층 402호,덕이네떡갈비,한식
살얼음 물냉면,8500,4.9,광주광역시 남구 서동 291 서동 영무예다음아파트 상가동 101호,냉면장인임사부&숯불구이서동점,한식
비빔냉면,8500,4.9,광주광역시 남구 서동 291 서동 영무예다음아파트 상가동 101호,냉면장인임사부&숯불구이서동점,한식
코다리 회냉면,9500,4.9,광주광역시 남구 서동 291 서동 영무예다음아파트 상가동 101호,냉면장인임사부&숯불구이서동점,한식
직화 숯불고기,8900,4.9,광주광역시 남구 서동 291 서동 영무예다음아파트 상가동 101호,냉면장인임사부&숯불구이서동점,한식
모듬국밥,9000,4.9,광주광역시 동구 금동 13-3 ,금동봉자순대국밥,한식
암뽕순대국밥,9000,4.9,광주광역시 동구 금동 13-3 ,금동봉자순대국밥,한식
머리국밥,8000,4.9,광주광역시 동구 금동 13-3 ,금동봉자순대국밥,한식
내장국밥,8000,4.9,광주광역시 동구 금동 13-3 ,금동봉자순대국밥,한식
청국장 1人,8500,4.9,광주 동구 장동 9-10 1층,고향청국장&삼겹살,한식
김치찌개 1人,8500,4.9,광주 동구 장동 9-10 1층,고향청국장&삼겹살,한식
장어탕 1人,9500,4.9,광주 동구 장동 9-10 1층,고향청국장&삼겹살,한식
생등심돈까스 카레라이스,10000,4.9,광주광역시 북구 용봉동 1238-14 1층,고레카레-북구점,한식
치킨가라아게 카레라이스,10000,4.9,광주광역시 북구 용봉동 1238-14 1층,고레카레-북구점,한식
치즈돈까스 카레라이스,11000,4.9,광주광역시 북구 용봉동 1238-14 1층,고레카레-북구점,한식
돈까스 코코넛크림 카레라이스,10000,4.9,광주광역시 북구 용봉동 1238-14 1층,고레카레-북구점,한식
참치비빔밥 ,8000,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
우삽겹비빔밥 ,9000,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
삼겹살비빔밥,8500,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
간장불백비빔밥 ,9000,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
고추장불백비빔밥 ,9000,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
육회비빔밥 ,9500,4.8,광주 남구 백운동 494-4 박진우보습학원 1층,혼밥대왕-남구청점,한식
차돌박이 필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
목살 필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
버섯 베이컨 필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
치킨 필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
새우 필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
통삼겹 김치필라프,9500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
부채살 큐브 찹스테이크 덮밥,11500,4.8,광주광역시 동구 지산동 520-5 ,헝그리브라더스-조대점,한식
 모듬 생선구이,10000,4.8,광주광역시 동구 산수동 517-23 1층,한우물,한식
 불볼락 생선구이,9500,4.8,광주광역시 동구 산수동 517-23 1층,한우물,한식
갈치 생선구이,11500,4.8,광주광역시 동구 산수동 517-23 1층,한우물,한식
오리불고기,12000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
소불고기,12000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
닭갈비,12000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
뚝배기불백,12000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
애호박 돼지찌개,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
동태탕,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
차돌박이 된장찌개,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
제육볶음,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
돼지불고기,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
새싹 비빔밥,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
오리불고기비빔밥,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
소불고기 비빔밥,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
육회비빔냉면,11000,4.8,광주광역시 서구 내방동 312-49 1층,한식전문점무지개밥상,한식
설렁탕,9500,4.8,광주광역시 동구 충장로4가 25-2 1층(충장로4가),충장설렁탕,한식
우족탕,15000,4.8,광주광역시 동구 충장로4가 25-2 1층(충장로4가),충장설렁탕,한식
사골떡국,9500,4.8,광주광역시 동구 충장로4가 25-2 1층(충장로4가),충장설렁탕,한식
삼치구이,10000,4.8,광주 동구 금남로4가 41-3 1층,인촌참숯생선구이-광주본점,한식
고등어구이,9000,4.8,광주 동구 금남로4가 41-3 1층,인촌참숯생선구이-광주본점,한식
가자미구이,9000,4.8,광주 동구 금남로4가 41-3 1층,인촌참숯생선구이-광주본점,한식
조기구이,9000,4.8,광주 동구 금남로4가 41-3 1층,인촌참숯생선구이-광주본점,한식
삼선볶음밥,6000,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
옛날돈까스,8000,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
매운돈까스,8500,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
짬뽕국밥,8000,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
우삼겹짬뽕,8500,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
칼국수,6500,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
잡채,6500,4.8,광주 동구 충장로1가 24 2층,월계수식당,한식
삼계죽,11000,4.8,광주광역시 남구 서동 85 103호,본죽앤비빔밥-광주백운대성초교점,한식
불낙죽,11500,4.8,광주광역시 남구 서동 85 103호,본죽앤비빔밥-광주백운대성초교점,한식
낙지김치죽,10000,4.8,광주광역시 남구 서동 85 103호,본죽앤비빔밥-광주백운대성초교점,한식
신짬뽕죽,10500,4.8,광주광역시 남구 서동 85 103호,본죽앤비빔밥-광주백운대성초교점,한식
매생이굴죽,11000,4.8,광주광역시 남구 서동 85 103호,본죽앤비빔밥-광주백운대성초교점,한식
갈비탕,9000,4.8,광주광역시 서구 유촌동 860-4 ,명품왕갈비찜,한식
육개장,9000,4.8,광주광역시 서구 유촌동 860-4 ,명품왕갈비찜,한식
고추장불고기,11900,4.8,광주광역시 북구 용봉동 154-14 1층,메리석쇠,한식
양념돼지갈비,12900,4.8,광주광역시 북구 용봉동 154-14 1층,메리석쇠,한식
등갈비구이,14900,4.8,광주광역시 북구 용봉동 154-14 1층,메리석쇠,한식
해물김치전,9900,4.8,광주광역시 북구 용봉동 154-14 1층,메리석쇠,한식
간장불고기,11900,4.8,광주광역시 북구 용봉동 154-14 1층,메리석쇠,한식
돼지 김치찌개 ,13500,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
쫀득살김치찌개,15000,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
소고기 김치찌개,14000,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
참치 김치찌개 ,14000,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
고등어 김치찌개,14000,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
꽁치 김치찌개,14000,4.8,광주광역시 동구 지산동 509-16 1층,뚠뚠돼지김치찌개-조선대점,한식
제육불고기,9000,4.8,광주광역시 동구 서석동 350-2,대장금-조대점,한식
상추불고기,9000,4.8,광주광역시 동구 서석동 350-2,대장금-조대점,한식
닭볶음,9000,4.8,광주광역시 동구 서석동 350-2,대장금-조대점,한식
소불고기백반,14000,4.8,광주광역시 동구 서석동 350-2,대장금-조대점,한식
애호박찌개,9000,4.8,광주광역시 동구 대인동 324-19 1층,금성식당,한식
김치찌개,9000,4.8,광주광역시 동구 대인동 324-19 1층,금성식당,한식
동태탕,9000,4.8,광주광역시 동구 대인동 324-19 1층,금성식당,한식
교반 육회비빔밥,8500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 우삼겹비빔밥,8500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 삼겹비빔밥,8500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 간장불고기 비빔밥,8500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 교반 매콤삼겹 비빔밥,8500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 왕물냉면,7500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
교반 왕비빔냉면,7500,4.8,광주광역시 동구 서석동 470-46 1층,교반육회비빔밥-조선대점,한식
형아네 수제돈까스,9000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 수제돈까스 오므라이스,9000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 건강알밥 돈까스,10000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 모짜렐라치즈알밥,9000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
치즈알밥돈가스,12500,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 치즈돈까스,9500,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 제육덮밥 오므라이스,10000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 스팸 오므라이스,9500,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 김치참치볶음밥,7500,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 참치회덮밥,10000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
치즈알밥돈가스,7500,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 참치볶음밥돈까스,10000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
형아네 연어회덮밥,10000,4.7,광주광역시 동구 학동 524-13 지하1층,형아네퓨전요리,한식
더좋은 국밥,9500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
모듬국밥,8500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
고기국밥,8500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
머리국밥,8500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
암뽕국밥,8500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
내장국밥,7500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
순대만국밥,7500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
순대국밥,7500,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
콩나물국밥,6000,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
김치찌개,7000,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
모듬순대국밥,8000,4.7,광주광역시 동구 궁동 45-15 ,좋은국밥,한식
맑은 나주식곰탕,10000,4.7,광주 동구 대인동 324-18 1층,육전주는인생설곰탕,한식
설렁탕,10000,4.7,광주 동구 대인동 324-18 1층,육전주는인생설곰탕,한식
인기메뉴 모듬곰탕,12000,4.7,광주 동구 대인동 324-18 1층,육전주는인생설곰탕,한식
육개장,10000,4.7,광주 동구 대인동 324-18 1층,육전주는인생설곰탕,한식
뼈해장국,11000,4.7,광주 동구 대인동 324-18 1층,육전주는인생설곰탕,한식
산낙지비빔밥,15000,4.6,광주광역시 남구 양림동 279-2 풍성한맛집,행복한양림밥상,한식
돌판낙지,9000,4.6,광주광역시 남구 양림동 279-2 풍성한맛집,행복한양림밥상,한식
돌판 한우불비,9000,4.6,광주광역시 남구 양림동 279-2 풍성한맛집,행복한양림밥상,한식
야채비빔밥,8000,4.6,광주광역시 남구 양림동 279-2 풍성한맛집,행복한양림밥상,한식
꽃게된장찌개,7900,4.6,광주광역시 동구 황금동 21-9 ,한뚝배기-본점,한식
돼지김치찌개,7900,4.6,광주광역시 동구 황금동 21-9 ,한뚝배기-본점,한식
해물순두부,7900,4.6,광주광역시 동구 황금동 21-9 ,한뚝배기-본점,한식
햄치즈순두부,7900,4.6,광주광역시 동구 황금동 21-9 ,한뚝배기-본점,한식
차돌고추장찌개,7900,4.6,광주광역시 동구 황금동 21-9 ,한뚝배기-본점,한식
갈비탕,13000,4.6,광주광역시 동구 계림동 1827 그랜드센트럴 107동 305호,곽만근갈비탕-광주계림점,한식
얼큰갈비탕,13000,4.6,광주광역시 동구 계림동 1827 그랜드센트럴 107동 305호,곽만근갈비탕-광주계림점,한식
모듬국밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
얼큰머리해장국,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
머리국밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
내장국밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
순대국밥,9000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
사골뼈해장국,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
왕뼈갈비탕,13000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
한우육회비빔밥,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
한우익힌비빔밥,10000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
기본 비빔밥,7000,4.5,광주광역시 동구 광산동 65-1 65-1 1레인보우포차,오빠네돼지찌개&김치찌개-본점,한식
