name,location,score,category
지코바치킨-산수1호점,광주광역시 동구 산수동 723 무등산 그린웰로제비앙 122동 지하1층 9호,5.0,양식
호식이두마리치킨-광주서석점,광주광역시 동구 서석동 469-3,4.8,양식
푸라닭-광주백운점,광주광역시 남구 서동 70-6 한국에센 1층,4.9,양식
푸라닭-광주조선대점,광주광역시 동구 서석동 468-5 1층,4.9,양식
네네치킨-산수점,광주 동구 산수동 421-14 2층,4.8,양식
KFC-광주충장로점,광주광역시 동구 황금동 71,4.7,양식
맘스터치-광주충장점,광주광역시 동구 황금동 20 2층,4.7,양식
굽네치킨&피자-방림양림점,광주광역시 남구 방림동 536-35 미래샷시 1층,5.0,양식
아주커치킨-조대점,광주 동구 지산동 694-33번지 1층,4.8,양식
아주커치킨-산수점,광주광역시 동구 산수동 553-31 1층,4.9,양식
굽네치킨&피자-광주두암점,광주광역시 북구 두암동 947-1 부영맨션 상가 104호,4.8,양식
교촌치킨-조선대점,광주광역시 동구 지산동 500 106호,4.7,양식
호식이두마리치킨-지산산수점,광주 동구 산수동 538-37 1층,4.9,양식
호식이두마리치킨-신안점,광주 북구 신안동 12-1 2층,4.6,양식
둘마리깻잎순살치킨,광주광역시 남구 사동 49-5 쵸이슈퍼 1층,4.9,양식
BBQ-광주동명점,광주광역시 동구 장동 60-1 ,4.9,양식
오븐에구운훈제치킨두마리-두암점,광주 북구 두암동 904-5 1층,4.7,양식
순살만공격-산수점,광주광역시 동구 산수동 723 무등산 그린웰로제비앙 123동 지하1층 123-1호,4.9,양식
굽네치킨&피자-광주학동점,광주광역시 동구 학동 729-24 ,4.8,양식
롯데리아-광주금남로점,광주광역시 동구 금남로1가 15-11 3층,4.9,양식
BHC-광주금남로27번가점,광주광역시 동구 대의동 81-5 ,4.8,양식
깐튀남-동구점,광주광역시 동구 산수동 559-43 1층,5.0,양식
60계치킨-광주동명계림점,광주 동구 장동 68-5,4.9,양식
꾸브라꼬숯불두마리치킨-계림점,광주광역시 동구 계림동 484-23 ,4.9,양식
굽네치킨&피자-광주계림금남로점,광주광역시 동구 대인동 315-7 1층,4.9,양식
롯데리아-광주학동점,광주광역시 동구 학동 750-71,4.8,양식
롯데리아-광주충장점,광주광역시 동구 충장로3가 14-2 ,4.7,양식
부리나치킨-동명점,광주광역시 동구 동명동 184-5 ,4.8,양식
방림통닭,광주광역시 남구 방림동 6-3 1층,4.9,양식
BBQ-광주계림센트럴점,광주광역시 동구 계림동 1827 그랜드센트럴 591-9 광주 그랜드센트럴 108동 2층 434호,4.9,양식
걸작떡볶이치킨-조선대점,광주광역시 동구 지산동 517 ,4.7,양식
피자나라치킨공주-광주조선대점,광주광역시 동구 지산동 514-2,4.9,양식
월클이닭,광주 북구 두암동 288-6 1층,4.9,양식
서동치킨,광주광역시 남구 사동 146 보그헤어 1층,5.0,양식
후라이드명가문동치킨,광주광역시 북구 두암동 345-3,4.9,양식
맘스터치-광주조선대점,광주 동구 지산동 502-1 2층,4.6,양식
만계치킨-본점,광주광역시 동구 지산동 505-2,4.7,양식
자담치킨-광주학동점,광주광역시 동구 학동 703-2,4.9,양식
맘스터치-학동방림점,광주 동구 학동 732-1 1층,4.8,양식
맥시칸치킨-두암점,광주광역시 북구 두암동 288-7 두암동L.S빌딩 1층,5.0,양식
광주오리날개튀김,광주광역시 동구 학동 81-10 ,4.7,양식
자담치킨-광주전대점,광주광역시 북구 중흥동 353-2,4.9,양식
오빠통닭-계림점,광주광역시 북구 풍향동 580-22 1층,4.9,양식
처갓집양념치킨-학동방림점,광주광역시 동구 학동 898-4 백화아파트,4.6,양식
인생깐풍기,광주광역시 동구 학동 768 평화맨션,4.9,양식
치교치밥-조대점,광주광역시 동구 지산동 517-2,4.9,양식
박가네깐풍기찜닭-백운점,광주 남구 백운동 618-10 회포장배달 1층,4.8,양식
오늘여기치킨&돈까스,광주광역시 동구 대의동 80-1,5.0,양식
롯데리아-계림점,광주광역시 동구 계림동 505-900 홈플러스 광주계림점,4.5,양식
IJ치킨,광주 북구 용봉동 1251-8 1층,4.1,양식
13월치킨똥집,광주광역시 남구 진월동 319-11 영산강묵은지 1층,5.0,양식
우린청춘닭,광주광역시 동구 지산동 510-8 ,4.6,양식
순살맛있는닭,광주 남구 주월동 448-10 최가네마포구이 1층,4.7,양식
또래오래-전남대점,광주 북구 용봉동 161-48 용봉빌딩 지하 1층,4.3,양식
브라보치킨피자-조선대점,광주 동구 지산동 521-6 2층,4.7,양식
후라이드참잘하는집-조대점,광주 동구 서석동 23-10 1층,4.9,양식
노랑통닭-광주학동점,광주광역시 남구 방림동 566 방림광신프로그레스,4.7,양식
자담치킨-월산점,광주광역시 남구 월산동 244-3,4.8,양식
통닭꼬치GO,광주광역시 동구 지산동 519-2,4.8,양식
지코바치킨-주월1호점,광주 남구 주월동 1258-1,4.8,양식
네고치킨-조대본점,광주 동구 지산동 511-7 2층,5.0,양식
BBQ-광주계림중앙점,광주광역시 동구 산수동 723 무등산 그린웰로제비앙 121동 지하1층 121-11호,5.0,양식
가마로강정-광주충파점,광주 동구 충장로4가 13-1 ,4.6,양식
자담치킨-광주계림점,광주 동구 계림동 895 1층,4.9,양식
인생치킨-동구점,광주광역시 동구 대인동 312-19 ,5.0,양식
자담치킨-광주산수지산점,광주광역시 동구 산수동 526-40 ,4.8,양식
멕시카나-방림점,광주 남구 방림동 107-13 OK컴퓨터 1층,4.9,양식
고래통닭,광주 동구 서석동 436-8,4.5,양식
동네통닭,광주 동구 산수동 524-1 1층,5.0,양식
2030치킨,광주 북구 신안동 136-7 1층,5.0,양식
아주커치킨-전대병원점,광주 동구 학동 138-4,4.3,양식
수타짱임실치즈피자,광주 동구 서석동 468-9,4.5,양식
피자헛-광주충장로점,광주광역시 동구 궁동 1-3 ,4.7,양식
피자알볼로-동광주점,광주광역시 북구 우산동 258-3 ,4.9,양식
도미노피자-광주금남로점,광주 동구 궁동 7-7,4.7,양식
빅스타피자-광주동구점,광주광역시 동구 동명동 92-7 ,4.8,양식
네오피자-광주1호점,광주광역시 북구 중흥동 345-13 1층,4.6,양식
7번가피자-충장로점,광주광역시 동구 황금동 12-2 ,4.8,양식
피굽남피자-광주5호점,광주 남구 백운동 4-13 1층,4.9,양식
피자오래-남구점,광주광역시 남구 봉선동 1129-9 1층,4.9,양식
피자플래넷-남구점,광주광역시 남구 백운동 653-34,4.9,양식
청년피자-양림점,광주광역시 남구 양림동 446-1 세영빌딩 1층,5.0,양식
난타5000피자-계림점,광주광역시 동구 대인동 320-29 1층,4.8,양식
업텐브로피자-4호점,광주광역시 동구 지산동 500,4.9,양식
왕손피자-동구점,광주광역시 동구 산수동 559-17,4.9,양식
꽃보다사랑피자서구점,광주광역시 서구 화정동 616-2 ,4.9,양식
영구스피자-광주두암점,광주 북구 두암동 904-5 1층,4.7,양식
피자런-남구직영점,광주광역시 남구 주월동 967-10 1층,4.9,양식
짱구피자(서석동),광주광역시 동구 서석동 468-9 ,4.5,양식
7번가피자-학동점,광주광역시 동구 학동 1022 무등산 아이파크 ,4.9,양식
피자탑-무등점,광주광역시 남구 월산동 1047-45 1층,5.0,양식
굽네치킨&피자-풍향산수점,광주광역시 북구 풍향동 579-5,4.9,양식
난타5000피자-방림점,광주광역시 남구 봉선동 5 명지아파트 5번지 101호,4.6,양식
티이티디,광주광역시 동구 동명동 154-118 ,5.0,양식
난타5000피자-무등시장점,광주광역시 남구 주월동 974-210 아놀드바시니 1층,5.0,양식
