name,foodname, price 
지코바치킨-산수1호점,소금구이치킨,18000
지코바치킨-산수1호점,양념치킨,19000
호식이두마리치킨-광주서석점,후라이드치킨,15000
호식이두마리치킨-광주서석점,땅콩카라멜치킨,18000
호식이두마리치킨-광주서석점,간장치킨,18000
푸라닭-광주백운점,푸라닭치킨,16900
푸라닭-광주백운점,달콤양념치킨,18900
푸라닭-광주백운점,고추마요치킨,18900
푸라닭-광주백운점,블랙마요치킨,20900
푸라닭-광주백운점,블랙투움바치킨,21900
푸라닭-광주백운점,블랙악마치킨,20900
푸라닭-광주조선대점,푸라닭치킨,16900
푸라닭-광주조선대점,달콤양념치킨,18900
푸라닭-광주조선대점,고추마요치킨,18900
푸라닭-광주조선대점,블랙마요치킨,20900
푸라닭-광주조선대점,블랙투움바치킨,21900
푸라닭-광주조선대점,블랙악마치킨,20900
네네치킨-산수점,후라이드치킨,16000
네네치킨-산수점,코찡마요치킨,19000
네네치킨-산수점,청양마요치킨,19000
네네치킨-산수점,레드마요치킨,19000
네네치킨-산수점,소이갈릭치킨,19000
네네치킨-산수점,파닭치킨,19000
KFC-광주충장로점,오리지널치킨,21200
KFC-광주충장로점,블랙라벨치킨,22000
KFC-광주충장로점,양념치킨,23600
KFC-광주충장로점,바베큐치킨,25200
3가지맛투존치킨-조선대점,후라이드치킨,17000
3가지맛투존치킨-조선대점,마늘간장치킨,18000
3가지맛투존치킨-조선대점,양념치킨,18000
3가지맛투존치킨-조선대점,어니언치킨,18900
맘스터치-광주충장점,후라이드치킨,16900
맘스터치-광주충장점,양념치킨,18900
맘스터치-광주충장점,간장마늘치킨,18900
맘스터치-광주충장점,허니버터치킨,18900
맘스터치-광주충장점,군옥수수치킨,18900
맘스터치-광주충장점,체다치킨,18900
교촌치킨-학동점,교촌오리지날치킨,16000
교촌치킨-학동점,교촌허니오리지날치킨,16000
교촌치킨-학동점,교촌레드오리지날치킨,17000
교촌치킨-학동점,블랙시크릿오리지날치킨,20000
굽네치킨&피자-방림양림점,오리지널치킨,16000
굽네치킨&피자-방림양림점,고추바사삭치킨,18000
굽네치킨&피자-방림양림점,불금치킨,18000
굽네치킨&피자-방림양림점,볼케이노치킨,18000
굽네치킨&피자-방림양림점,갈비천왕치킨,18000
굽네치킨&피자-방림양림점,갈릭마왕치킨,18000
아주커치킨-조대점,후라이드치킨,17000
아주커치킨-조대점,양념치킨,18000
아주커치킨-조대점,간장치킨,18000
아주커치킨-조대점,매콤양념치킨,19000
아주커치킨-산수점,후라이드치킨,17000
아주커치킨-산수점,양념치킨,18000
아주커치킨-산수점,간장치킨,18000
아주커치킨-산수점,매콤양념치킨,19000
굽네치킨&피자-광주두암점,오리지널치킨,16000
굽네치킨&피자-광주두암점,고추바사삭치킨,18000
굽네치킨&피자-광주두암점,불금치킨,18000
굽네치킨&피자-광주두암점,볼케이노치킨,18000
굽네치킨&피자-광주두암점,갈비천왕치킨,18000
굽네치킨&피자-광주두암점,갈릭마왕치킨,18000
교촌치킨-조선대점,교촌오리지날치킨,16000
교촌치킨-조선대점,교촌허니오리지날치킨,16000
교촌치킨-조선대점,교촌레드오리지날치킨,17000
교촌치킨-조선대점,블랙시크릿오리지날치킨,20000
호식이두마리치킨-지산산수점,후라이드치킨,15000
호식이두마리치킨-지산산수점,땅콩카라멜치킨,18000
호식이두마리치킨-지산산수점,간장치킨,18000
호식이두마리치킨-신안점,후라이드치킨,15000
호식이두마리치킨-신안점,땅콩카라멜치킨,18000
